ID,group,species,species_phylo,experiment,temp,b,L,log10_L,mass_mid.g,min_mass.g,max_mass.g,L_state,study_id
184,water-breather,Oncorhynchus mykiss,Oncorhynchus mykiss (species in domain Eukaryota),omyk_rao_sal15,15,0.7743,0.118458027,-0.926435505,68.93475176,24,198,standard metabolism,60
185,water-breather,Oncorhynchus mykiss,Oncorhynchus mykiss (species in domain Eukaryota),omyk_rao_sal30,15,0.6226,0.157959872,-0.801453227,56.33826408,23,138,standard metabolism,60
186,water-breather,Oncorhynchus nerka,Oncorhynchus nerka,oner_bret_smr,5.3,0.9141,0.038040695,-1.419751557,100,5,2000,standard,9
187,water-breather,Oncorhynchus nerka,Oncorhynchus nerka,oner_bret_smr,15,0.8465,0.073877436,-1.131488186,100,5,2000,standard,9
188,water-breather,Oncorhynchus nerka,Oncorhynchus nerka,oner_bret_smr,20,0.8844,0.127352019,-0.894994165,46.9041576,1,2200,standard,9
189,water-breather,Oreochromis mossambicus,Oreochromis mossambicus,omos_caul_rou,16,0.656,0.0554303,-1.256252771,38.72983346,10,150,routine,11
190,water-breather,Oreochromis mossambicus,Oreochromis mossambicus,omos_caul_rou,19,0.626,0.0720871,-1.142142445,38.72983346,10,150,routine,11
191,water-breather,Oreochromis mossambicus,Oreochromis mossambicus,omos_caul_rou,22,0.656,0.1068809,-0.971099898,38.72983346,10,150,routine,11
192,water-breather,Oreochromis mossambicus,Oreochromis mossambicus,omos_caul_rou,25,0.646,0.1479877,-0.829774379,38.72983346,10,150,routine,11
193,water-breather,Oreochromis mossambicus,Oreochromis mossambicus,omos_caul_rou,28,0.656,0.1768083,-0.752497352,38.72983346,10,150,routine,11
194,water-breather,Oreochromis mossambicus,Oreochromis mossambicus,omos_caul_rou,32,0.678,0.2532335,-0.596478842,38.72983346,10,150,routine,11
195,water-breather,Oreochromis mossambicus,Oreochromis mossambicus,omos_caul_rou,34,0.663,0.268589,-0.570911778,38.72983346,10,150,routine,11
196,water-breather,Oreochromis mossambicus,Oreochromis mossambicus,omos_caul_rou,37,0.637,0.3123811,-0.50531525,38.72983346,10,150,routine,11
197,water-breather,Parachromis managuensis,Parachromis managuensis,pma_leza,22,0.76,0.1491986,-0.826235252,2.19089023,0.006,800,routine,41
198,water-breather,Parachromis managuensis,Parachromis managuensis,pma_leza,27,0.71,0.2398451,-0.62006915,2.19089023,0.006,800,routine,41
199,water-breather,Parachromis managuensis,Parachromis managuensis,pma_leza,27,0.72,0.2584325,-0.587652871,2.19089023,0.006,800,routine,41
200,water-breather,Parachromis managuensis,Parachromis managuensis,pma_leza,32,0.72,0.3391977,-0.469547101,2.19089023,0.006,800,routine,41
201,water-breather,Paralichthys olivaceus,Paralichthys olivaceus,poli_xian_smr,13.5,0.8219,0.127605821,-0.894129514,13.18408131,1.5,115.88,standard,78
202,water-breather,Paralichthys olivaceus,Paralichthys olivaceus,poli_xian_smr,18,0.8168,0.162322852,-0.789620335,12.78577334,1.8,90.82,standard,78
203,water-breather,Paralichthys olivaceus,Paralichthys olivaceus,poli_xian_smr,21.5,0.6556,0.242998678,-0.614396089,13.51893487,1.99,91.84,standard,78
204,water-breather,Paralichthys olivaceus,Paralichthys olivaceus,poli_xian_smr,24,0.6203,0.240493801,-0.618896114,13.75528626,1.89,100.11,standard,78
205,water-breather,Paralichthys olivaceus,Paralichthys olivaceus,poli_xian_smr,27,0.6305,0.33763955,-0.471546687,7.398580945,4.3,12.73,standard,78
206,water-breather,Paranotothenia magellanica,Paranotothenia magellanica,pmag_vane_rou,10,1.029,0.044537373,-1.351275403,121.5104175,60.9467,242.2572,routine,71
207,water-breather,Paranotothenia magellanica,Paranotothenia magellanica,pmag_vane_rou,4,0.8135,0.015506025,-1.80949952,121.5104175,60.9467,242.2572,routine,71
208,water-breather,Paranotothenia magellanica,Paranotothenia magellanica,pmag_vane_rou,2,0.7913,0.012368695,-1.90767612,121.5104175,60.9467,242.2572,routine,71
209,water-breather,Patagonothen sima,Patagonotothen sima,psima_vane_rou,10,1.4684,0.026519722,-1.576431033,29.07852706,20.0855,42.098,routine,71
210,water-breather,Patagonothen sima,Patagonotothen sima,psima_vane_rou,4,1.2814,0.01015533,-1.99330596,29.07852706,20.0855,42.098,routine,71
211,water-breather,Patagonothen sima,Patagonotothen sima,psima_vane_rou,2,1.3547,0.005945762,-2.225792479,29.07852706,20.0855,42.098,routine,71
212,water-breather,Perca flavescens,Perca flavescens,pfla_end,16,0.84,0.1086555,-0.963948285,11.23120652,5.3,23.8,standard,27
213,water-breather,Perca flavescens,Perca flavescens,pfla_end,20,0.72,0.1979635,-0.703414876,9.333809512,4.4,19.8,standard,27
214,water-breather,Perca fluviatilis,Perca fluviatilis,pflu_chris,15,0.8508,0.070747383,-1.15028962,73.25036323,6.005270974,893.4843635,standard,14
215,water-breather,Perca fluviatilis,Perca fluviatilis,pflu_chris,20,0.87515,0.078601718,-1.104567962,60.99947356,4.489251258,828.8544259,standard,14
216,water-breather,Perca fluviatilis,Perca fluviatilis,pflu_chris,25,0.8409,0.126022829,-0.899550774,78.22442713,7.044109314,868.6777457,standard,14
217,water-breather,Perca fluviatilis,Perca fluviatilis,pflu_chris,28,0.85493,0.162019483,-0.790432758,55.01601509,5.071810792,596.7813154,standard,14
218,water-breather,Platichthys flesus,Platichthys flesus,pfle_fond_smr_fed,2,0.705,0.0674387,-1.17109081,23.43074903,3,183,standard,28
219,water-breather,Platichthys flesus,Platichthys flesus,pfle_fond_smr_fed,6,0.793,0.1027459,-0.988235499,35.41186242,3,418,standard,28
220,water-breather,Platichthys flesus,Platichthys flesus,pfle_fond_smr_fed,10,0.734,0.1742966,-0.758711085,35.07135583,3,410,standard,28
221,water-breather,Platichthys flesus,Platichthys flesus,pfle_fond_smr_fed,14,0.76,0.2670595,-0.573391968,18.08314132,1,327,standard,28
222,water-breather,Platichthys flesus,Platichthys flesus,pfle_fond_smr_fed,18,0.816,0.3977023,-0.400441897,14.56021978,1,212,standard,28
223,water-breather,Platichthys flesus,Platichthys flesus,pfle_fond_smr_fed,22,0.813,0.5064106,-0.295497212,14.59451952,1,213,standard,28
224,water-breather,Platichthys flesus,Platichthys flesus,pfle_duth_smr,5,0.827,0.0246567,-1.608065049,101.4272833,14.0793,730.6801,standard,25
225,water-breather,Platichthys flesus,Platichthys flesus,pfle_duth_smr,15,0.812,0.057,-1.244125144,40.96065922,4.3903,382.1584,standard,25
226,water-breather,Platichthys flesus,Platichthys flesus,pfle_fond_smr_post,2,0.739,0.0359998,-1.443699912,23.43074903,3,183,standard,28
227,water-breather,Platichthys flesus,Platichthys flesus,pfle_fond_smr_post,6,0.757,0.0533778,-1.27263933,35.41186242,3,418,standard,28
228,water-breather,Platichthys flesus,Platichthys flesus,pfle_fond_smr_post,10,0.799,0.0900083,-1.045717441,35.07135583,3,410,standard,28
229,water-breather,Platichthys flesus,Platichthys flesus,pfle_fond_smr_post,14,0.775,0.1365887,-0.864585228,18.08314132,1,327,standard,28
230,water-breather,Platichthys flesus,Platichthys flesus,pfle_fond_smr_post,18,0.799,0.1774503,-0.750923262,14.56021978,1,212,standard,28
231,water-breather,Platichthys flesus,Platichthys flesus,pfle_fond_smr_post,22,0.795,0.1904825,-0.720144918,14.59451952,1,213,standard,28
232,water-breather,Pleuronectes platessa,Pleuronectes platessa,ppla_fond_smr_fed,2,0.828,0.0740669,-1.130375832,15.74801575,2,124,standard,28
233,water-breather,Pleuronectes platessa,Pleuronectes platessa,ppla_fond_smr_fed,6,0.847,0.107085,-0.970271359,22.13594362,2,245,standard,28
234,water-breather,Pleuronectes platessa,Pleuronectes platessa,ppla_fond_smr_fed,10,0.792,0.1790958,-0.746914599,15.09966887,2,114,standard,28
235,water-breather,Pleuronectes platessa,Pleuronectes platessa,ppla_fond_smr_fed,14,0.742,0.2169987,-0.663542868,18.70828693,2,175,standard,28
236,water-breather,Pleuronectes platessa,Pleuronectes platessa,ppla_fond_smr_fed,18,0.804,0.3344038,-0.475728796,10.58300524,1,112,standard,28
237,water-breather,Pleuronectes platessa,Pleuronectes platessa,ppla_fond_smr_fed,22,0.771,0.3906114,-0.408255086,13.92838828,1,194,standard,28
238,water-breather,Pleuronectes platessa,Pleuronectes platessa,ppla_fond_smr_post,2,0.79,0.0375718,-1.425137998,22.13594362,2,245,standard,28
239,water-breather,Pleuronectes platessa,Pleuronectes platessa,ppla_fond_smr_post,6,0.774,0.0541402,-1.266480144,24.93992783,2,311,standard,28
240,water-breather,Pleuronectes platessa,Pleuronectes platessa,ppla_fond_smr_post,10,0.799,0.0706997,-1.150582429,24.97999199,2,312,standard,28
241,water-breather,Pleuronectes platessa,Pleuronectes platessa,ppla_fond_smr_post,14,0.782,0.0947432,-1.023451951,25.53429067,2,326,standard,28
242,water-breather,Pleuronectes platessa,Pleuronectes platessa,ppla_fond_smr_post,18,0.778,0.1250362,-0.902964234,14.38749457,1,207,standard,28
243,water-breather,Pleuronectes platessa,Pleuronectes platessa,ppla_fond_smr_post,22,0.784,0.1766331,-0.752927909,13.92838828,1,194,standard,28
244,water-breather,Polydon spatula,Polyodon spathula,pspa_patt_rou,10,0.918,0.0815479,-1.088587218,842.5107011,49.8934,14226.8125,routine,57
245,water-breather,Polydon spatula,Polyodon spathula,pspa_patt_rou,20,0.935,0.127460852,-0.894623183,1950.983985,211.514,17995.6805,routine,57
246,water-breather,Polydon spatula,Polyodon spathula,pspa_patt_rou,30,0.902,0.2192377,-0.659084763,2181.153646,226.9939,20958.4059,routine,57
247,water-breather,Pomadasys commersonnii,Pomadasys commersonnii,pcom_dupr_rou,15,0.78,0.068027513,-1.167315406,576.1354008,139,2388,routine,21
248,water-breather,Pomadasys commersonnii,Pomadasys commersonnii,pcom_dupr_rou,20,0.74,0.135724089,-0.867343065,308.8737606,77,1239,routine,21
249,water-breather,Pomadasys commersonnii,Pomadasys commersonnii,pcom_dupr_rou,25,0.61,0.258542738,-0.587467656,285.1315486,60,1355,routine,21
250,water-breather,Pomadasys commersonnii,Pomadasys commersonnii,pcom_dupr_smr,15,0.86,0.056692624,-1.246473441,576.1354008,139,2388,standard,21
251,water-breather,Pomadasys commersonnii,Pomadasys commersonnii,pcom_dupr_smr,25,0.66,0.206673411,-0.684715393,285.1315486,60,1355,standard,21
252,water-breather,Prionotus punctatus,Prionotus punctatus,ppun_gome_rou,20,0.85,0.1901252,-0.720960316,9.405849244,1,88.47,routine,32
253,water-breather,Prionotus punctatus,Prionotus punctatus,ppun_gome_rou,25,0.84,0.2111822,-0.67534269,10.05658988,1.79,56.5,routine,32
254,water-breather,Rutilus rutilus,Rutilus rutilus,rrut_holk_smr,5,0.8,0.022153083,-1.654565825,24.49489743,3,200,standard,34
255,water-breather,Rutilus rutilus,Rutilus rutilus,rrut_holk_smr,10,0.8,0.043251256,-1.364001276,24.49489743,3,200,standard,34
256,water-breather,Rutilus rutilus,Rutilus rutilus,rrut_holk_smr,15,0.68,0.058571103,-1.232316597,24.49489743,3,200,standard,34
257,water-breather,Rutilus rutilus,Rutilus rutilus,rrut_holk_smr,20,0.73,0.095713994,-1.019024561,24.49489743,3,200,standard,34
258,water-breather,Rutilus rutilus,Rutilus rutilus,rrut_holk_smr,23,0.82,0.109085774,-0.962231883,24.49489743,3,200,standard,34
259,water-breather,Rutilus rutilus,Rutilus rutilus,rrut_holk_rou,5,0.92,0.043357275,-1.362938021,24.49489743,3,200,routine,34
260,water-breather,Rutilus rutilus,Rutilus rutilus,rrut_holk_rou,10,0.65,0.084551885,-1.072876706,24.49489743,3,200,routine,34
261,water-breather,Rutilus rutilus,Rutilus rutilus,rrut_holk_rou,15,0.67,0.099533913,-1.002028922,24.49489743,3,200,routine,34
262,water-breather,Rutilus rutilus,Rutilus rutilus,rrut_holk_rou,20,0.73,0.133240626,-0.875363336,24.49489743,3,200,routine,34
263,water-breather,Rutilus rutilus,Rutilus rutilus,rrut_holk_rou,23,0.75,0.150133483,-0.82352244,24.49489743,3,200,routine,34
264,water-breather,Rutilus rutilus,Rutilus rutilus,rrut_wie_smr,15,0.78164,0.3127157,-0.504850314,0.104344621,0.0154,0.707,standard,74
265,water-breather,Rutilus rutilus,Rutilus rutilus,rrut_wie_smr,20,0.78987,0.4370137,-0.359504948,0.107450454,0.0164,0.704,standard,74
266,water-breather,Salvelinus fontinalis,Salvelinus fontinalis,sfon_beam_smr,10,1.107,0.0537306,-1.26977831,84.58723308,27,265,standard,3
267,water-breather,Salvelinus fontinalis,Salvelinus fontinalis,sfon_beam_smr,15,1.014,0.1074879,-0.968640422,90,30,270,standard,3
268,water-breather,Salvelinus fontinalis,Salvelinus fontinalis,sfon_beam_smr,20,1.036,0.1460557,-0.835481489,85.32291603,26,280,standard,3
269,water-breather,Salvelinus fontinalis,Salvelinus fontinalis,sfon_job_smr,5,0.85704,0.0383443,-1.416299186,54.27522455,5.5,535.6,standard,39
270,water-breather,Salvelinus fontinalis,Salvelinus fontinalis,sfon_job_smr,10,0.85497,0.0774209,-1.111141784,61.67657578,4,951,standard,39
271,water-breather,Salvelinus fontinalis,Salvelinus fontinalis,sfon_job_smr,15,0.85,0.0960786,-1.017373334,56.66568627,3.8,845,standard,39
272,water-breather,Salvelinus fontinalis,Salvelinus fontinalis,sfon_job_smr,20,0.801,0.1378426,-0.860616544,55.47530982,4.3,715.7,standard,39
273,water-breather,Scophthalmus maximus,Scophthalmus maximus,smax_wall_smr,7.5,0.816,0.0674012,-1.171332371,52.38320341,4,686,standard,72
274,water-breather,Scophthalmus maximus,Scophthalmus maximus,smax_wall_smr,9.5,0.749,0.0877308,-1.05684791,70.71067812,5,1000,standard,72
275,water-breather,Scophthalmus maximus,Scophthalmus maximus,smax_wall_smr,11.5,0.743,0.1217432,-0.914555287,63.2455532,4,1000,standard,72
276,water-breather,Scophthalmus maximus,Scophthalmus maximus,smax_wall_smr,13.5,0.726,0.1516145,-0.819259262,63.2455532,4,1000,standard,72
277,water-breather,Scophthalmus maximus,Scophthalmus maximus,smax_wall_smr,15.6,0.711,0.2157996,-0.665949365,63.2455532,4,1000,standard,72
278,water-breather,Scorpaena guttata,Scorpaena guttata,sgut_yang_rou,18,0.848,0.0394847,-1.403571157,171.6286276,39.0347,754.6207,routine,81
279,water-breather,Scorpaena guttata,Scorpaena guttata,sgut_yang_rou,9,0.989,0.0223679,-1.650374788,361.6720022,147.456,887.0893,routine,81
280,water-breather,Sebastolobus alascanus,Sebastolobus alascanus,sala_yang_rou,4,0.663,0.0078992,-2.10241689,332.0436635,113.0356,975.3833,routine,81
281,water-breather,Sebastolobus alascanus,Sebastolobus alascanus,sala_yang_rou,9,1.04,0.0110081,-1.958287634,341.4528371,184.9125,630.5145,routine,81
282,water-breather,Silurus meridionalis,Silurus meridionalis,smer_xiao_res.sta,10,0.94,0.020862,-1.680644059,122.5985318,42.7,352,resting/standard,79
283,water-breather,Silurus meridionalis,Silurus meridionalis,smer_xiao_res.sta,15,0.934,0.0397376,-1.400798366,119.34823,40,356.1,resting/standard,79
284,water-breather,Silurus meridionalis,Silurus meridionalis,smer_xiao_res.sta,20,0.834,0.0541207,-1.266636595,131.1480842,40.7,422.6,resting/standard,79
285,water-breather,Silurus meridionalis,Silurus meridionalis,smer_xiao_res.sta,25,0.766,0.0952438,-1.021163286,59.46360231,10.8,327.4,resting/standard,79
286,water-breather,Silurus meridionalis,Silurus meridionalis,smer_xiao_res.sta,30,0.748,0.1080836,-0.966240198,108.8398824,28.6,414.2,resting/standard,79
287,water-breather,Siniperca chuatsi,Siniperca chuatsi,schu_liu_res,10,0.872,0.0380237,-1.419945625,146.7349013,41.2955,521.3911,resting,44
288,water-breather,Siniperca chuatsi,Siniperca chuatsi,schu_liu_res,15,0.856,0.0536641,-1.27031615,141.3826254,39.1452,510.6391,resting,44
289,water-breather,Siniperca chuatsi,Siniperca chuatsi,schu_liu_res,20,0.812,0.1033194,-0.985818125,145.2347217,41.4086,509.3904,resting,44
290,water-breather,Siniperca chuatsi,Siniperca chuatsi,schu_liu_res,25,0.745,0.1404993,-0.85232584,148.1531583,45.1613,486.0215,resting,44
291,water-breather,Siniperca chuatsi,Siniperca chuatsi,schu_liu_res,30,0.705,0.1798998,-0.744969319,143.1532783,41.8422,489.7651,resting,44
292,water-breather,Siniperca chuatsi,Siniperca chuatsi,schu_liu_res,35,0.685,0.198512,-0.702213235,152.1850581,47.482,487.7698,resting,44
293,water-breather,Sparus aurata,Sparus aurata,sau_cald_12ppt,20,0.8313,0.0515061,-1.288141333,256.4741644,106.85,615.62,resting,10
294,water-breather,Sparus aurata,Sparus aurata,sau_cald_12ppt,24,0.8239,0.0646754,-1.189260877,311.8869699,130.01,748.2,resting,10
295,water-breather,Sparus aurata,Sparus aurata,sau_cald_22ppt,20,0.7764,0.0623231,-1.205350953,256.3013851,80,821.13,resting,10
296,water-breather,Sparus aurata,Sparus aurata,sau_cald_22ppt,24,0.7718,0.0825293,-1.083391838,214.643466,65.55,702.85,resting,10
297,water-breather,Sparus aurata,Sparus aurata,sau_cald_36ppt,20,0.7289,0.1005591,-0.997578622,248.228131,73.45,838.9,resting,10
298,water-breather,Sparus aurata,Sparus aurata,sau_cald_36ppt,24,0.7203,0.1160735,-0.93526692,278.0247039,85.62,902.8,resting,10
299,water-breather,Tautogolabrus adspersus,Tautogolabrus adspersus,tads_kell_rou,1,0.92,0.0258419,-1.587675558,4.898979486,0.2,120,resting/routine,40
300,water-breather,Tautogolabrus adspersus,Tautogolabrus adspersus,tads_kell_rou,2,0.9,0.0277888,-1.556130207,4.898979486,0.2,120,resting/routine,40
301,water-breather,Tautogolabrus adspersus,Tautogolabrus adspersus,tads_kell_rou,3,0.86,0.0353628,-1.451453355,4.898979486,0.2,120,resting/routine,40
302,water-breather,Tautogolabrus adspersus,Tautogolabrus adspersus,tads_kell_rou,4,0.85,0.0420491,-1.376243295,4.898979486,0.2,120,resting/routine,40
303,water-breather,Tautogolabrus adspersus,Tautogolabrus adspersus,tads_kell_rou,5,0.86,0.0525362,-1.279541343,4.898979486,0.2,120,resting/routine,40
304,water-breather,Tautogolabrus adspersus,Tautogolabrus adspersus,tads_kell_rou,6,0.85,0.0571597,-1.242910059,4.898979486,0.2,120,resting/routine,40
305,water-breather,Tautogolabrus adspersus,Tautogolabrus adspersus,tads_kell_rou,7,0.86,0.0649346,-1.18752383,4.898979486,0.2,120,resting/routine,40
306,water-breather,Tautogolabrus adspersus,Tautogolabrus adspersus,tads_kell_rou,8,0.85,0.0699827,-1.155009306,4.898979486,0.2,120,resting/routine,40
307,water-breather,Tautogolabrus adspersus,Tautogolabrus adspersus,tads_kell_rou,9,0.84,0.0775502,-1.110417078,4.898979486,0.2,120,resting/routine,40
308,water-breather,Tautogolabrus adspersus,Tautogolabrus adspersus,tads_kell_rou,10,0.71,0.0822511,-1.084858285,6.860029154,0.26,181,resting/routine,40
309,water-breather,Trematomus bernacchii,Trematomus bernacchii,tber_wohl_res,-1.8,1.3117,0.0489562,-1.3101923,204.8999756,128,328,resting,75
310,water-breather,Trematomus bernacchii,Trematomus bernacchii,tber_wohl_res,-0.8,0.8616,0.0573413,-1.241532465,82.21921916,20,338,resting,75
311,water-breather,Trematomus bernacchii,Trematomus bernacchii,tber_wohl_res,0.2,0.8746,0.0628438,-1.201737562,82.21921916,20,338,resting,75
312,water-breather,Trematomus bernacchii,Trematomus bernacchii,tber_wohl_res,1.2,0.9509,0.0613726,-1.212025478,82.21921916,20,338,resting,75
313,water-breather,Trematomus bernacchii,Trematomus bernacchii,tber_wohl_res,2.2,0.971,0.0622121,-1.206125139,68.99275324,20,238,resting,75
314,water-breather,Urobatis halleri,Urolophus_halleri,uhall_silv,15,0.97656,0.074443861,-1.12817111,160.7331401,31.7573,813.5172,standard metabolism,63
315,water-breather,Urobatis halleri,Urolophus_halleri,uhall_silv,23,0.97014,0.182823623,-0.737967689,162.5201363,32.229,819.5358,standard metabolism,63
316,water-breather,Urobatis halleri,Urolophus_halleri,uhall_silv,27,0.71684,0.299051518,-0.524253989,180.852468,38.1833,856.5941,standard metabolism,63
317,air-breather,Acanthodactylus boskianus,Acanthodactylus boskianus,abos_zari_wint,20,0.5,0.154837129,-0.81012489,1.951409747,0.34,11.2,standard MR,83
318,air-breather,Acanthodactylus boskianus,Acanthodactylus boskianus,abos_zari_wint,25,0.58,0.21532923,-0.666897013,1.951409747,0.34,11.2,standard MR,83
319,air-breather,Acanthodactylus boskianus,Acanthodactylus boskianus,abos_zari_wint,30,0.63,0.300345003,-0.522379589,1.951409747,0.34,11.2,standard MR,83
320,air-breather,Acanthodactylus boskianus,Acanthodactylus boskianus,abos_zari_wint,35,0.61,0.428364469,-0.368186559,1.951409747,0.34,11.2,standard MR,83
321,air-breather,Acanthodactylus boskianus,Acanthodactylus boskianus,abos_zari_sum,20,0.61,0.097077816,-1.012880003,2.006240265,0.35,11.5,standard MR,83
322,air-breather,Acanthodactylus boskianus,Acanthodactylus boskianus,abos_zari_sum,25,0.53,0.148911885,-0.827070639,2.006240265,0.35,11.5,standard MR,83
323,air-breather,Acanthodactylus boskianus,Acanthodactylus boskianus,abos_zari_sum,30,0.59,0.235002422,-0.628927662,2.006240265,0.35,11.5,standard MR,83
324,air-breather,Acanthodactylus boskianus,Acanthodactylus boskianus,abos_zari_sum,35,0.5,0.319049356,-0.496142128,2.006240265,0.35,11.5,standard MR,83
325,air-breather,Acanthodactylus schmidti,Acanthodactylus schmidti,asch_als,10,0.89,0.427901452,-0.36865624,5.337602458,1.1,25.9,resting,2
326,air-breather,Acanthodactylus schmidti,Acanthodactylus schmidti,asch_als,15,0.85,0.544682586,-0.263856509,5.337602458,1.1,25.9,resting,2
327,air-breather,Acanthodactylus schmidti,Acanthodactylus schmidti,asch_als,20,0.77,0.709712693,-0.148917427,5.337602458,1.1,25.9,resting,2
328,air-breather,Acanthodactylus schmidti,Acanthodactylus schmidti,asch_als,25,0.71,0.835300121,-0.078157456,5.337602458,1.1,25.9,resting,2
329,air-breather,Acanthodactylus schmidti,Acanthodactylus schmidti,asch_als,30,0.63,0.953570761,-0.020647074,5.337602458,1.1,25.9,resting,2
330,air-breather,Acanthodactylus schmidti,Acanthodactylus schmidti,asch_als,35,0.42,1.054928791,0.023223145,5.337602458,1.1,25.9,resting,2
331,air-breather,Acrantophis dumerili,Acrantophis dumerili,adur_chap,20,0.757,0.011427,-1.942067773,2076.498495,1071,4026,resting,12
332,air-breather,Acrantophis dumerili,Acrantophis dumerili,adur_chap,30,0.616,0.029255,-1.533799898,2076.498495,1071,4026,resting,12
333,air-breather,Acrantophis dumerili,Acrantophis dumerili,adur_chap,34,0.689,0.045015,-1.346642746,2076.498495,1071,4026,resting,12
334,air-breather,Acris crepitans,Acris crepitans,acre_dun_april,5,1.19,0.043968,-1.356863289,1.338954816,0.83,2.16,NA,24
335,air-breather,Acris crepitans,Acris crepitans,acre_dun_april,15,1,0.051056,-1.291953213,1.374081511,0.79,2.39,NA,24
336,air-breather,Acris crepitans,Acris crepitans,acre_dun_april,25,1.55,0.074928,-1.12535586,1.136661779,0.68,1.9,NA,24
337,air-breather,Acris crepitans,Acris crepitans,acre_dun_may,5,1,0.12504,-0.902951035,1.098362417,0.58,2.08,NA,24
338,air-breather,Acris crepitans,Acris crepitans,acre_dun_may,25,0.71,0.30706,-0.512776754,1.006578363,0.68,1.49,NA,24
339,air-breather,Agkistrodon piscivorus conanti,Agkistrodon piscivorus,apis_mccu,30,0.748,0.053797786,-1.269235597,434.7413024,70,2700,standard MR,49
340,air-breather,Agkistrodon piscivorus conanti,Agkistrodon piscivorus,apis_mccu,25,0.777,0.037611792,-1.424675974,434.7413024,70,2700,standard MR,49
341,air-breather,Agkistrodon piscivorus conanti,Agkistrodon piscivorus,apis_mccu,20,0.765,0.02434016,-1.613676571,434.7413024,70,2700,standard MR,49
342,air-breather,Agkistrodon piscivorus conanti,Agkistrodon piscivorus,apis_mccu,15,0.764,0.016014918,-1.795475281,434.7413024,70,2700,standard MR,49
343,air-breather,Norops sagrei,Anolis sagrei,nsag_stef,25,0.91378,0.387495541,-0.411733291,2.493482077,1.272406,4.886375,standard MR,64
344,air-breather,Norops sagrei,Anolis sagrei,nsag_stef,30,1.10562,0.478926146,-0.319731453,2.551692174,1.215015,5.358891,standard MR,64
345,air-breather,Norops sagrei,Anolis sagrei,nsag_stef,35,0.87198,0.616795921,-0.209858507,2.397980988,1.202142,4.783389,standard MR,64
346,air-breather,Boa constrictor,Boa constrictor,bcon_chap,20,0.748,0.016025,-1.795201962,695.413546,31,15600,resting,12
347,air-breather,Boa constrictor,Boa constrictor,bcon_chap,30,0.743,0.042913,-1.367411123,695.413546,31,15600,resting,12
348,air-breather,Boa constrictor,Boa constrictor,bcon_chap,34,0.836,0.053447,-1.272076667,695.413546,31,15600,resting,12
349,air-breather,Bothrops moojeni,Bothrops moojeni,bmo_cruz,20,0.65,0.183132157,-0.737235389,112.8381141,7.4,1720.6,NA,15
350,air-breather,Bothrops moojeni,Bothrops moojeni,bmo_cruz,30,0.65,0.210465314,-0.676819468,112.8381141,7.4,1720.6,NA,15
351,air-breather,Candoia carinatus,Candoia carinata,ccar_chap,20,0.668,0.018117,-1.741913716,100.6637969,9.8,1034,resting,12
352,air-breather,Candoia carinatus,Candoia carinata,ccar_chap,30,0.71,0.045943,-1.33778065,100.6637969,9.8,1034,resting,12
353,air-breather,Candoia carinatus,Candoia carinata,ccar_chap,34,0.697,0.073651,-1.132821352,100.6637969,9.8,1034,resting,12
354,air-breather,Chameleon calyptratus,Chamaeleo calyptratus,ccaly_zari,20,0.67,0.063834003,-1.19494792,37.64863875,13.1,108.2,standard MR,82
355,air-breather,Chameleon calyptratus,Chamaeleo calyptratus,ccaly_zari,25,0.69,0.113911368,-0.943432933,37.64863875,13.1,108.2,standard MR,82
356,air-breather,Chameleon calyptratus,Chamaeleo calyptratus,ccaly_zari,30,0.61,0.209173723,-0.679492874,37.64863875,13.1,108.2,standard MR,82
357,air-breather,Chameleon calyptratus,Chamaeleo calyptratus,ccaly_zari,35,0.65,0.284143089,-0.546462903,37.64863875,13.1,108.2,standard MR,82
358,air-breather,Corallus caninus,Corallus caninus,ccan_chap,20,0.661,0.013651,-1.864835533,442.2295784,219,893,resting,12
359,air-breather,Corallus caninus,Corallus caninus,ccan_chap,30,0.879,0.038988,-1.409069043,442.2295784,219,893,resting,12
360,air-breather,Corallus caninus,Corallus caninus,ccan_chap,34,0.817,0.051629,-1.287106287,442.2295784,219,893,resting,12
361,air-breather,Corallus enhydris,Corallus hortulanus,cenh_chap,20,0.847,0.014837,-1.828653903,545.3989366,214,1390,resting,12
362,air-breather,Corallus enhydris,Corallus hortulanus,cenh_chap,30,0.771,0.036588,-1.43666133,545.3989366,214,1390,resting,12
363,air-breather,Corallus enhydris,Corallus hortulanus,cenh_chap,34,0.872,0.050553,-1.296253067,545.3989366,214,1390,resting,12
364,air-breather,Cocodrylus porosus,Crocodylus porosus,cpor_wrig,20,0.649,0.050209563,-1.299213559,447.0145412,49,4078,resting,77
365,air-breather,Cocodrylus porosus,Crocodylus porosus,cpor_wrig,25,0.729,0.068361593,-1.165187826,447.0145412,49,4078,resting,77
366,air-breather,Cocodrylus porosus,Crocodylus porosus,cpor_wrig,30,0.732,0.091572093,-1.038236859,447.0145412,49,4078,resting,77
367,air-breather,Cocodrylus porosus,Crocodylus porosus,cpor_wrig,33,0.793,0.117878001,-0.928567238,447.0145412,49,4078,resting,77
368,air-breather,Crotalus adamanteus,Crotalus adamanteus,cada_dorc,5,0.67045,0.004386323,-2.357899391,2004.116925,801.3941,5011.872,standard MR,18
369,air-breather,Crotalus adamanteus,Crotalus adamanteus,cada_dorc,10,0.8863,0.005173932,-2.286179283,2004.116925,801.3941,5011.872,standard MR,18
